glyph_name,ps_name,USV,sort_final,in_neo
wdotbelow,wdotbelow,U+1E89,270,Y
Zdotbelow,Zdotbelow,U+1E92,271,Y
zdotbelow,zdotbelow,U+1E93,272,Y
Ydotbelow,Ydotbelow,U+1EF4,273,Y
ydotbelow,ydotbelow,U+1EF5,274,Y
enquad,uni2000,U+2000,275,Y
emquad,uni2001,U+2001,276,Y
enspace,uni2002,U+2002,277,Y
emspace,uni2003,U+2003,278,Y
threeperemspace,uni2004,U+2004,279,Y
fourperemspace,uni2005,U+2005,280,Y
sixperemspace,uni2006,U+2006,281,Y
figurespace,uni2007,U+2007,282,Y
punctuationspace,uni2008,U+2008,283,Y
thinspace,uni2009,U+2009,284,Y
hairspace,uni200A,U+200A,285,Y
zerowidthspace,zerowidthspace,U+200B,286,Y
zerowidthnonjoiner,zerowidthnonjoiner,U+200C,287,Y
zerowidthjoiner,uni200D,U+200D,288,Y
lefttorightmark,uni200E,U+200E,289,Y
righttoleftmark,uni200F,U+200F,290,Y
hyphentwo,hyphentwo,U+2010,291,Y
nonbreakinghyphen,nonbreakinghyphen,U+2011,292,Y
figuredash,figuredash,U+2012,293,Y
endash,endash,U+2013,294,Y
emdash,emdash,U+2014,295,Y
horizontalbar,uni2015,U+2015,296,Y
quoteleft,quoteleft,U+2018,297,Y
quoteright,quoteright,U+2019,298,Y
quotesinglbase,quotesinglbase,U+201A,299,Y
quotedblleft,quotedblleft,U+201C,300,Y
quotedblright,quotedblright,U+201D,301,Y
quotedblbase,quotedblbase,U+201E,302,Y
dagger,dagger,U+2020,303,Y
daggerdbl,daggerdbl,U+2021,304,Y
bullet,bullet,U+2022,305,Y
ellipsis,ellipsis,U+2026,306,Y
hyphenationpoint,uni2027,U+2027,307,Y
lineseparator,uni2028,U+2028,308,Y
paragraphseparator,uni2029,U+2029,309,Y
lefttorightembedding,uni202A,U+202A,310,Y
righttoleftembedding,uni202B,U+202B,311,Y
popdirectionalformatting,uni202C,U+202C,312,Y
lefttorightoverride,uni202D,U+202D,313,Y
righttoleftoverride,uni202E,U+202E,314,Y
narrownbspace,uni202F,U+202F,315,Y
perthousand,perthousand,U+2030,316,Y
guilsinglleft,guilsinglleft,U+2039,317,Y
guilsinglright,guilsinglright,U+203A,318,Y
fraction,fraction,U+2044,319,Y
wordjoiner,uni2060,U+2060,320,Y
foursuperior,foursuperior,U+2074,321,Y
Euro,Euro,U+20AC,322,Y
trademark,trademark,U+2122,323,Y
Omega,Omega,U+2126,324,Y
partialdiff,partialdiff,U+2202,325,Y
Delta,Delta,U+2206,326,Y
product,product,U+220F,327,Y
summation,summation,U+2211,328,Y
minus,minus,U+2212,329,Y
divisionslash,divisionslash,U+2215,330,Y
bulletoperator,bulletoperator,U+2219,331,Y
